Title,Method,Method family,Pretraining datasets,Evaluation datasets,Year,Venue,Publication status,DOI,Verified as of
Efficient VideoMAE via Temporal Progressive Training,Temporal Progressive Training (TPT),Generative / Masked,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2,2025,CVPR Workshops 2025,peer_reviewed,10.1109/CVPRW67362.2025.00250,2026-08-11
An Empirical Study of Autoregressive Pre-training from Videos,Toto,Generative / Masked,ImageNet-1K; Kinetics-600; Ego4D; HowTo100M,ImageNet-1K; Kinetics-400; Ego4D STA v1; DAVIS 2017; CATER; MVP,2025,ICCV 2025,peer_reviewed,,2026-08-11
Reinforcement Learning Meets Masked Video Modeling: Trajectory-Guided Adaptive Token Selection,Trajectory-Aware Token Selection (TATS),Generative / Masked,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2; UCF101; HMDB51,2025,ICCV Workshops 2025,peer_reviewed,10.1109/ICCVW69036.2025.00730,2026-08-11
Entropy-Guided Masked Autoencoding for Self-Supervised Human Action Recognition Using Video Swin Transformer,Entropy-Guided Masked Autoencoding,Generative / Masked,UCF101,UCF101,2025,ACROSET 2025,peer_reviewed,10.1109/ACROSET66531.2025.11281001,2026-08-11
Privacy Preservation Using Superimposed 3D-Models for Self-Supervised Training in Action Recognition,Private-MO,Other / Hybrid,Kinetics-150; M2M-Kinetics,UCF101; HMDB51; Diving48; IKEA Furniture Assembly; UAV-Human; VISPR,2025,ICCV Workshops 2025,peer_reviewed,10.1109/ICCVW69036.2025.00241,2026-08-11
Learning Complementary Knowledge via Trusted Multi-view Space Decomposition for Self-Supervised Contrastive Learning,Trusted Multi-view Decoupled Contrast (TMDC),Contrastive,ImageNet-1K; OGBG-MolBBBP,ImageNet-1K; OGBG-MolBBBP,2025,Machine Learning 2025,peer_reviewed,10.1007/s10994-025-06927-6,2026-08-11
OSKAR: Omnimodal Self-supervised Knowledge Abstraction and Representation,OSKAR,Cross-Modal,OpenHumanVid3,Kinetics-400; Something-Something V2; NTU RGB+D 60; NTU RGB+D 120; AVA; MSR-VTT; MSVD; VATEX; MSR-VTT-QA; MSVD-QA; TGIF-FrameQA,2025,NeurIPS 2025,peer_reviewed,10.52202/085713-0021,2026-08-11
MME: Video Representation Learning as World Model for Understanding and Planning,Masked Motion Encoding (MME),Generative / Masked,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2; UCF101; HMDB51; AVA; Robot arm manipulation benchmark,2025,TechRxiv preprint,preprint,10.36227/techrxiv.175624509.93122186/v1,2026-08-11
Hashtag2Action: Data Engineering and Self-Supervised Pre-Training for Action Recognition in Short-Form Videos,Hashtag2Action (H2A),Generative / Masked,Hashtag2Action,UCF101; HMDB51; Kinetics-400; Something-Something V2,2025,ICCV Workshops 2025,peer_reviewed,10.1109/ICCVW69036.2025.00312,2026-08-11
Kdhiera: boosting self-supervised masked video modeling via hierarchical knowledge distillation,KDHiera,Generative / Masked,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2; AVA,2025,Cluster Computing 2025,peer_reviewed,10.1007/s10586-025-05262-8,2026-08-11
Self-supervised video representation learning based on foreground and temporal information.,Foreground and Temporal Information SSL,Pretext / Predictive,UCF101; HMDB51; Self-built video dataset,UCF101; HMDB51; Self-built video dataset,2025,"Proceedings of SPIE, ETAI 2025",peer_reviewed,10.1117/12.3068403,2026-08-11
Feature Hallucination for Self-supervised Action Recognition,DEEP-HAL,Cross-Modal,Kinetics-400; COCO; AVA v2.1; Kinetics-Skeletons,HMDB51; YUP++; MPII Cooking Activities; Charades; EPIC-KITCHENS-55; Toyota Smarthome; Kinetics-400; Kinetics-600; Something-Something V2,2025,International Journal of Computer Vision 2025,peer_reviewed,10.1007/s11263-025-02513-4,2026-08-11
ViDROP: Video Dense Representation through Spatio-Temporal Sparsity,ViDROP,Generative / Masked,Kinetics-400,Kinetics-400; Something-Something V2; UCF101; HMDB51; THUMOS14; ImageNet-1K; DAVIS; VSC23,2025,CVPR Workshops 2025,peer_reviewed,10.1109/CVPRW67362.2025.00300,2026-08-11
SF2T: Self-supervised Fragment Finetuning of Video-LLMs for Fine-Grained Understanding,SF2T,Cross-Modal,Something-Something V2; Moments in Time,FineVidBench; MVBench; Video-MME; TempCompass,2025,CVPR 2025,peer_reviewed,10.1109/CVPR52734.2025.02710,2026-08-11
