Title,Authors,Method,Method family,Pretraining datasets,Evaluation datasets,All datasets,Year,Venue,Is NeurIPS,Publication status,DOI,arXiv ID,Paper URL,Code URL,Dataset notes,Verified as of
Beyond reconstruction: Enhancing masked autoencoders with contrastive learning for video representation learning,"Yawei Feng, Lijun Guo, Guitao Yu, Rong Zhang, Jiangbo Qian, Chong Wang, Shangce Gao",Beyond Reconstruction (BR),Other / Hybrid,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2,2026,"Engineering Applications of Artificial Intelligence, volume 171, article 114283 (2026)",No,peer_reviewed,10.1016/j.engappai.2026.114283,,https://doi.org/10.1016/j.engappai.2026.114283,,"Accessible implementation metadata explicitly names Kinetics-400 and Something-Something V2. The publisher abstract also reports video object segmentation but does not expose the segmentation dataset name, so no dataset was guessed.",2026-08-11
BIMM: Brain Inspired Masked Modeling for Video Representation Learning,"Zhifan Wan, Jie Zhang, Changzhen Li, Shiguang Shan",BIMM,Generative / Masked,ImageNet-1K; Kinetics-400; Something-Something V2; UCF101,ImageNet-1K; Kinetics-400; Something-Something V2; UCF101; HMDB51; AVA v2.2; COCO; ADE20K,ImageNet-1K; Kinetics-400; Something-Something V2; UCF101; HMDB51; AVA v2.2; COCO; ADE20K,2026,IEEE Transactions on Circuits and Systems for Video Technology 2026,No,peer_reviewed,10.1109/TCSVT.2026.3683701,2405.12757,https://ieeexplore.ieee.org/document/11481118/,,,2026-08-11
Depth-Wise Representation Development Under Blockwise Self-Supervised Learning for Video Vision Transformers,"Jonas Römer, Timo Dickscheid",Blockwise SSL VideoMAE (BWSSL),Generative / Masked,UCF101,UCF101; Synthetic drifting-grating probes,UCF101; Synthetic drifting-grating probes,2026,arXiv preprint,No,preprint,,2601.09040,https://arxiv.org/abs/2601.09040,https://github.com/JosRor/BWSSL-for-Video-ViTs,UCF101 is used for pretraining and downstream probing. Synthetic drifting-grating clips are generated by the study and are not a named external dataset.,2026-08-11
Dual Perspectives on Non-Contrastive Self-Supervised Learning,"Jean Ponce, Martial Hebert, Basile Terver ;",Dual-Perspective Non-Contrastive SSL Analysis,Contrastive,Kinetics-710; Something-Something V2; Synthetic linear data,Kinetics-400; Something-Something V2; Synthetic linear data,Kinetics-710; Something-Something V2; Synthetic linear data; Kinetics-400,2026,ICLR 2026,No,peer_reviewed,,2507.01028,https://openreview.net/forum?id=f5MC1G6XhB,,,2026-08-11
Factorized Latent Dynamics for Video JEPA: An Empirical Study of Auxiliary Objectives,Santosh Premi,FWM-HW-LD,Pretext / Predictive,UCF101; Something-Something V2; ImageNet-100,Diving48; Something-Something V2; ImageNet-100,UCF101; Something-Something V2; ImageNet-100; Diving48,2026,arXiv preprint,No,preprint,,2605.17165,https://arxiv.org/abs/2605.17165,https://github.com/santoshpremi/Factorized-Latent-Dynamics-for-Video-JEPA-An-Empirical-Study-of-Auxiliary-Objectives,"The paper compares a UCF101-only pretraining regime with a mixed UCF101, Something-Something V2, and ImageNet-100 regime. Frozen evaluation uses Diving48, Something-Something V2, and ImageNet-100.",2026-08-11
From Static to Dynamic: Exploring Self-supervised Image-to-Video Representation Transfer Learning,"Yang Liu, Qianqian Xu, Peisong Wen, Siran Dai, Xilin Zhao, Qingming Huang",Co-Settle,Pretext / Predictive,Kinetics-400,VIP; DAVIS 2017; JHMDB; Breakfast; UCF101; HMDB51; Something-Something V2; Chiral Something-Something V2; BADJA; TAP-DAVIS; Kinetics-400,Kinetics-400; ImageNet-1K; WIT-400M; LAION-400M; VIP; DAVIS 2017; JHMDB; Breakfast; UCF101; HMDB51; Something-Something V2; Chiral Something-Something V2; BADJA; TAP-DAVIS,2026,CVPR 2026,No,peer_reviewed,,2603.26597,https://openaccess.thecvf.com/content/CVPR2026/html/Liu_From_Static_to_Dynamic_Exploring_Self-supervised_Image-to-Video_Representation_Transfer_Learning_CVPR_2026_paper.html,https://github.com/yafeng19/Co-Settle,"Co-Settle is trained for five epochs on Kinetics-400. ImageNet-1K, WIT-400M, and LAION-400M are sources for the evaluated frozen image backbones. The original catalog's UCF101 and HMDB51-only annotation was incomplete.",2026-08-11
OneVision-Encoder: Codec-Aligned Sparsity as a Foundational Principle for Multimodal Intelligence,"Feilong Tang, Xiang An, Yunyao Yan, Yin Xie, Bin Qin, Kaicheng Yang, Yifei Shen, Yuanhan Zhang, Chunyuan Li, Shikun Feng, Changrui Chen, Huajie Tan, Ming Hu, Manyuan Zhang, Bo Li, Ziyong Feng, Ziwei Liu, Zongyuan Ge, Jiankang Deng",OneVision-Encoder (OV-Encoder),Contrastive,LAION-400M; COYO-700M; OBELICS; Zero250M; ImageNet-21K; HowTo100M; Panda-70M; Kinetics-710; Something-Something V2,Something-Something V2; Diving48; Perception Test; Charades-Ego; EPIC-KITCHENS-100; Kinetics-400; HMDB51,LAION-400M; COYO-700M; OBELICS; Zero250M; ImageNet-21K; HowTo100M; Panda-70M; Kinetics-710; Something-Something V2; Diving48; Perception Test; Charades-Ego; EPIC-KITCHENS-100; Kinetics-400; HMDB51,2026,arXiv preprint,No,preprint,,2602.08683,https://arxiv.org/abs/2602.08683,https://github.com/EvolvingLMMs-Lab/OneVision-Encoder,The dataset list covers the full pretraining corpus and the paper's seven attentive-probing video representation benchmarks. General multimodal LMM benchmark tables are outside this VideoSSL catalog field.,2026-08-11
Progressive Mask Distillation for Self-supervised Video Representation,"Kewei Wu, Chong Liang, Zhao Xie, Dan Guo",Progressive Mask Distillation (PMD),Generative / Masked,Kinetics-400; ImageNet-1K,Something-Something V2; Kinetics-400; UCF101; HMDB51,Kinetics-400; ImageNet-1K; Something-Something V2; UCF101; HMDB51,2026,CVPR 2026,No,peer_reviewed,,,https://openaccess.thecvf.com/content/CVPR2026/html/Wu_Progressive_Mask_Distillation_for_Self-supervised_Video_Representation_CVPR_2026_paper.html,,The student and video teacher are pretrained on Kinetics-400; the image teacher is pretrained on ImageNet-1K. The four named downstream datasets are evaluated by fine-tuning.,2026-08-11
Recurrent Video Masked Autoencoders,"Daniel Zoran, Nikhil Parthasarathy, Yi Yang, Drew A. Hudson, Joao Carreira, Andrew Zisserman",Recurrent Video Masked Autoencoder (RVM),Generative / Masked,HowTo100M; Kinetics-700; Something-Something V2; YouTube-BoundingBoxes; YouTube-8M,Something-Something V2; Kinetics-700; Waymo Open; Perception Test; ScanNet; DAVIS 2017; JHMDB; VIP,HowTo100M; Kinetics-700; Something-Something V2; YouTube-BoundingBoxes; YouTube-8M; Waymo Open; Perception Test; ScanNet; DAVIS 2017; JHMDB; VIP,2026,CVPR 2026,No,peer_reviewed,,2512.13684,https://openaccess.thecvf.com/content/CVPR2026/html/Zoran_Recurrent_Video_Masked_Autoencoders_CVPR_2026_paper.html,,,2026-08-11
Rethinking JEPA: Compute-Efficient Video SSL with Frozen Teachers,"Xianhang Li, Chen Huang, Chun-Liang Li, Eran Malach, Josh Susskind, Vimal Thilak, Etai Littwin",SALT,Pretext / Predictive,Kinetics-710; Something-Something V2; Panda-70M; ImageNet-1K,Kinetics-400; Something-Something V2; COIN; Jester; Diving48; ImageNet-1K; IntPhys; GRASP; InfLevel,Kinetics-710; Something-Something V2; Panda-70M; ImageNet-1K; Kinetics-400; COIN; Jester; Diving48; IntPhys; GRASP; InfLevel,2026,ICLR 2026,No,peer_reviewed,,2509.24317,https://openreview.net/forum?id=3cB9243E9i,,"The V-3.6M mixture combines Kinetics-710, Something-Something V2, and a 2.8M-video Panda-70M subset; ImageNet-1K is used in image ablations.",2026-08-11
